role,description,required_skills
Biofuels/Biodiesel Technology and Product Development Managers,"Define, plan, or execute biofuels/biodiesel research programs that evaluate alternative feedstock and process technologies with near-term commercial potential.","Ab Initio, Active Listening, Adobe Illustrator, Agilent ChemStation, Complex Problem Solving, Critical Thinking, Dassault Systemes CATIA, Email software, Epic Systems, Fleet Asset Management and Optimization Solutions FAMOS PEPSE, Formula translation/translator FORTRAN, Fund accounting software, Judgment and Decision Making, Linux, Microsoft Excel, Microsoft Office software, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SQL Server Integration Services SSIS, Microsoft SQL Server Reporting Services SSRS, Microsoft Visio, Microsoft Word, Oracle Java, Oracle Primavera Enterprise Project Portfolio Management, Perl, Python, Reading Comprehension, SAP software, Speaking, Systems Analysis, Systems Evaluation, UNIX, Writing"
Food Service Managers,"Plan, direct, or coordinate activities of an organization or department that serves food and beverages.","Active Listening, Aestiva Employee Time Clock, Apache Groovy, Army Food Management Information System, Aurora FoodPro, ChefDesk Chef's Calculators, ClubSoft Food & Beverage Point of Sale, Coordination, Critical Thinking, Culinary Software Services ChefTec, DataTeam Lunch Express, Database software, Delphi Technology, Dinerware Intuitive Restaurant, Evernote, Facebook, Food Service Solutions FoodCo, Food Service Solutions POSitive ID System, Food Services Solutions DayCap, Google Docs, Intuit QuickBooks, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Monitoring, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Time Management, espSoftware Employee Schedule Partner"
Gambling Managers,"Plan, direct, or coordinate gambling operations in a casino. May formulate house rules.","Active Learning, Active Listening, Complex Problem Solving, Coordination, Critical Thinking, Employee scheduling software, Human resources management system HRMS, Instructing, Judgment and Decision Making, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Time Management, Web browser software, Writing"
"Entertainment and Recreation Managers, Except Gambling","Plan, direct, or coordinate entertainment and recreational activities and operations of a recreational facility, including cruise ships and parks.","Active Listening, Adobe Acrobat, Apple macOS, Atlassian Confluence, Cisco Webex, Coordination, Critical Thinking, Facebook, Google Docs, HubSpot software, IBM SPSS Statistics, Instructing, Intuit QuickBooks, Judgment and Decision Making, Linux, Marketo Marketing Automation, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Teams, Microsoft Visio, Microsoft Visual Basic, Microsoft Visual Basic for Applications VBA, Microsoft Windows, Microsoft Word, Monitoring, Oracle Database, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Time Management, Writing"
Lodging Managers,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations.","Active Learning, Active Listening, Anand Systems ASI FrontDesk, Complex Problem Solving, Coordination, Critical Thinking, Delphi Technology, Email software, Enablez ResortSuite, Execu/Tech Systems HOTEL Premium, Facebook, GraceSoft Easy InnKeeping Suite, Hotel management system software, Housekeeping management software, INN-Client Server Systems ICSS Atrium, Instructing, Judgment and Decision Making, M-Tech Hotel Service Optimization System HotSOS, MICROS Systems OPERA Enterprise Solution OES, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Monitoring, Negotiation, Oracle JD Edwards EnterpriseOne, Payroll software, Persuasion, Property management system PMS software, Reading Comprehension, RedSky IT Entirety e-Booking, Service Orientation, Silverbyte Systems Optima Property Management System PMS, Social Perceptiveness, Speaking, Time Management, Writing, ePOS Business Solutions System 3 POS, iRez Systems Rezware XP7"
Medical and Health Services Managers,"Plan, direct, or coordinate medical and health services in hospitals, clinics, managed care organizations, public health agencies, or similar organizations.","Active Learning, Active Listening, Adobe Acrobat, Apache Hadoop, Apache Maven, Autodesk Revit, Cisco Webex, Complex Problem Solving, Coordination, Critical Thinking, Epic Systems, Facebook, Google Docs, Google Sheets, Henry Schein Dentrix, IBM SPSS Statistics, Instructing, Intuit QuickBooks, Judgment and Decision Making, MEDITECH software, Management of Personnel Resources, Marketo Marketing Automation, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SQL Server, Microsoft SQL Server Integration Services SSIS, Microsoft SQL Server Reporting Services SSRS, Microsoft SharePoint, Monitoring, Negotiation, Operations Analysis, Persuasion, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Writing, eClinicalWorks EHR software"
Natural Sciences Managers,"Plan, direct, or coordinate activities in such fields as life sciences, physical sciences, mathematics, statistics, and research and development in these fields.","Active Learning, Active Listening, Adobe Acrobat, Adobe Photoshop, Clinical trial management software, Complex Problem Solving, Critical Thinking, ESRI ArcGIS software, Graphics software, IBM Lotus 1-2-3, IBM SPSS Statistics, Integrated development environment IDE software, Judgment and Decision Making, Laboratory information management system LIMS, Learning Strategies, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft SharePoint, Microsoft Visio, Microsoft Word, Monitoring, Oracle Database, R, Reading Comprehension, SAP Business Objects, SAP software, SAS, Science, Speaking, Structured query language SQL, The MathWorks MATLAB, Writing"
Clinical Research Coordinators,"Plan, direct, or coordinate clinical research projects. Direct the activities of workers engaged in clinical research projects to ensure compliance with protocols and overall clinical objectives. May evaluate and analyze clinical data.","5AM Glassbox Translational Research, Active Listening, Budgeting software, ClearTrial, Clinical data management system CDMS, Clinical trial management software, Complex Problem Solving, Coordination, Critical Thinking, DZS Software Solutions ClinPlus, Drug coding software, Electronic data capture EDC software, FileMaker Pro, Google Meet, IBM SPSS Statistics, InferMed MACRO Electronic Data Capture, InforSense InforSense, Judgment and Decision Making, Management of Personnel Resources, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Word, Monitoring, Python, R, Reading Comprehension, SAS, Social Perceptiveness, Speaking, The MathWorks MATLAB, Time Management, Writing, ePharmaSolutions eMVR"
Water Resource Specialists,"Design or implement programs and strategies related to water resource issues such as supply, quality, and regulatory compliance issues.","Active Listening, Autodesk AutoCAD, Complex Problem Solving, Critical Thinking, DHI MIKE URBAN, Database software, ESRI ArcGIS Spatial Analyst, ESRI ArcGIS software, ESRI ArcInfo, ESRI ArcPad, ESRI ArcView, ESRI ArcView 3D Analyst, FishXing, Geographic information system GIS software, Geographic information system GIS systems, Global positioning system GPS software, Google Earth Pro, HEC-HMS, HEC-RAS, Judgment and Decision Making, Laboratory information management system LIMS, MWH Soft H2ONET MSX, Mapping software, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Word, Reading Comprehension, Speaking, Structured query language SQL, Systems Analysis, Systems Evaluation, Time Management, Writing"
Postmasters and Mail Superintendents,"Plan, direct, or coordinate operational, administrative, management, and support services of a U.S. post office; or coordinate activities of workers engaged in postal and related work in assigned post office.","Active Listening, Collection Point Management System CPMS, Coordination, Critical Thinking, Email software, Facility database software, Management of Personnel Resources, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Windows, Microsoft Word, Monitoring, Negotiation, Payroll software, Personnel management software, Personnel scheduling software, Postal boundary mapping software, Postal tracking software, Reading Comprehension, SAP software, Social Perceptiveness, Speaking, Time Management, Vehicle management software, Web Box Activity Tracing System WebBATS, Web browser software, eBuy"
"Property, Real Estate, and Community Association Managers","Plan, direct, or coordinate the selling, buying, leasing, or governance activities of commercial, industrial, or residential real estate properties. Includes managers of homeowner and condominium associations, rented or leased housing units, buildings, or land (including rights-of-way).","Active Listening, Advantos Systems DataTrust Enterprise, Biometric reader software, Bostonpost Technology Property Manager, Card key management software, Coordination, Critical Thinking, Domin-8 Enterprise Solutions RentRight, Domin-8 Enterprise Solutions Tenant Pro, Facebook, FullHouse Software Investment Property Manager, Google Analytics, Google Docs, Google Drive, Hypertext markup language HTML, IDEAS Software & Training IDEAS Property Clerk, Infor Global Solutions eSITE, Intuit MRI Residential, Intuit QuickBooks, Microsoft Access, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Windows, Microsoft Word, Negotiation, Reading Comprehension, Speaking, Writing, Yardi software"
Social and Community Service Managers,"Plan, direct, or coordinate the activities of a social service program or community outreach organization. Oversee the program or organization's budget and policies regarding participant involvement, program requirements, and benefits. Work may involve directing social workers, counselors, or probation officers.","Active Learning, Active Listening, Blackbaud The Raiser's Edge, Client information databases, Complex Problem Solving, Coordination, Corel QuattroPro, Corel WordPerfect Office Suite, Critical Thinking, FileMaker Pro, Financial accounting software, Healthcare common procedure coding system HCPCS, IBM Lotus 1-2-3, Instructing, Judgment and Decision Making, Learning Strategies, Management of Personnel Resources, Microsoft Access, Microsoft Dynamics, Microsoft Excel, Microsoft Office software, Microsoft Outlook, Microsoft PowerPoint, Microsoft Project, Microsoft Publisher, Microsoft Visual FoxPro, Microsoft Word, Monitoring, Oracle Reports, PointClickCare healthcare software, Reading Comprehension, Service Orientation, Social Perceptiveness, Speaking, Systems Analysis, Systems Evaluation, Time Management, Web browser software, Writing"
